epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5291.98,1.87544,1.15013,0.95217,0.71941,0.56474,0.63704,0.31528,1.81852,1.18747,0.93897,0.008614,0.008614,0.008614
44,5384.01,1.8874,1.14593,0.95071,0.73713,0.56298,0.64371,0.32217,1.81508,1.15571,0.93982,0.008581,0.008581,0.008581
45,5486.63,1.89708,1.15408,0.95218,0.72429,0.56298,0.6381,0.31445,1.85703,1.14817,0.94315,0.008548,0.008548,0.008548
46,5589.73,1.88812,1.14419,0.94994,0.75682,0.57345,0.65641,0.32463,1.82002,1.1446,0.93725,0.008515,0.008515,0.008515
47,5691.22,1.86142,1.12412,0.94977,0.73607,0.56951,0.64896,0.32431,1.81469,1.1364,0.93962,0.008482,0.008482,0.008482
48,5793.35,1.89003,1.14678,0.94932,0.72417,0.57705,0.65469,0.32562,1.82272,1.12666,0.937,0.008449,0.008449,0.008449
49,5899.31,1.88592,1.13519,0.95021,0.72511,0.57471,0.65265,0.32136,1.82449,1.1258,0.93756,0.008416,0.008416,0.008416
50,6028.3,1.87446,1.13366,0.95312,0.75278,0.58174,0.66738,0.33401,1.79475,1.09371,0.93528,0.008383,0.008383,0.008383
51,6170.87,1.85458,1.11864,0.94192,0.73617,0.58777,0.66921,0.33555,1.80389,1.0973,0.9353,0.00835,0.00835,0.00835
52,6304.74,1.8628,1.12023,0.94812,0.72859,0.59363,0.66213,0.33257,1.80231,1.13216,0.93417,0.008317,0.008317,0.008317
53,6441.62,1.87211,1.11609,0.94636,0.72882,0.58911,0.66236,0.33281,1.79576,1.15525,0.93276,0.008284,0.008284,0.008284
54,6567.11,1.85268,1.10151,0.94415,0.74955,0.58753,0.66718,0.33894,1.78427,1.11149,0.93172,0.008251,0.008251,0.008251
55,6786.72,1.85348,1.09586,0.94228,0.73068,0.57873,0.65847,0.33053,1.80311,1.13388,0.93232,0.008218,0.008218,0.008218
56,6927.04,1.84793,1.1052,0.94439,0.74601,0.60023,0.67562,0.33899,1.77556,1.08184,0.92908,0.008185,0.008185,0.008185
57,7029.49,1.85858,1.10962,0.94266,0.75681,0.59146,0.67268,0.34203,1.77607,1.08964,0.92862,0.008152,0.008152,0.008152
58,7126.35,1.83941,1.09282,0.94365,0.75927,0.59328,0.67987,0.34485,1.76569,1.06639,0.92722,0.008119,0.008119,0.008119
59,7532.42,1.84093,1.09267,0.94219,0.756,0.58437,0.66881,0.34038,1.78331,1.09704,0.92837,0.008086,0.008086,0.008086
60,7673.02,1.82046,1.07074,0.93675,0.75308,0.60251,0.67858,0.34709,1.77589,1.09036,0.92859,0.008053,0.008053,0.008053
61,7811.26,1.83944,1.08464,0.9402,0.7458,0.59598,0.67003,0.34185,1.77755,1.10753,0.92929,0.00802,0.00802,0.00802
62,7913.74,1.81946,1.06992,0.94148,0.74566,0.6006,0.67562,0.3444,1.77052,1.09443,0.92754,0.007987,0.007987,0.007987
63,8009.7,1.81268,1.06314,0.93686,0.76758,0.59191,0.67674,0.34561,1.76877,1.09634,0.92771,0.007954,0.007954,0.007954
64,8259.41,1.82262,1.06456,0.94267,0.76303,0.58995,0.67187,0.34108,1.76937,1.10465,0.92868,0.007921,0.007921,0.007921
65,8350.91,1.78873,1.04386,0.93465,0.75844,0.59682,0.68065,0.34781,1.76564,1.08658,0.9258,0.007888,0.007888,0.007888
66,8607.13,1.80553,1.05603,0.93898,0.75808,0.60888,0.68632,0.35014,1.7608,1.06608,0.92479,0.007855,0.007855,0.007855
67,8741.43,1.79653,1.053,0.93315,0.76731,0.60821,0.68585,0.34939,1.7608,1.08397,0.92578,0.007822,0.007822,0.007822
68,8874.52,1.80018,1.05039,0.93524,0.76451,0.61122,0.68839,0.35387,1.74966,1.07993,0.92461,0.007789,0.007789,0.007789
69,9002.4,1.78105,1.03895,0.93778,0.76672,0.60318,0.68713,0.35119,1.76398,1.08256,0.92629,0.007756,0.007756,0.007756
70,9140.44,1.8168,1.06055,0.93287,0.75943,0.60988,0.68849,0.35305,1.75232,1.07592,0.92473,0.007723,0.007723,0.007723
71,9240.75,1.80145,1.04803,0.93323,0.75985,0.61859,0.69245,0.3553,1.74775,1.06578,0.92349,0.00769,0.00769,0.00769
72,9337.85,1.79909,1.0466,0.93242,0.76055,0.61206,0.68909,0.35406,1.75593,1.07439,0.92408,0.007657,0.007657,0.007657
73,9447.7,1.78306,1.03701,0.93365,0.75254,0.61608,0.68945,0.35514,1.75863,1.07689,0.92411,0.007624,0.007624,0.007624
74,9539.23,1.77224,1.04028,0.92597,0.7567,0.61307,0.69024,0.35551,1.75729,1.06481,0.92406,0.007591,0.007591,0.007591
75,9630.25,1.78706,1.04566,0.93365,0.76442,0.61417,0.69263,0.35736,1.75306,1.06666,0.92276,0.007558,0.007558,0.007558
76,9731.15,1.79317,1.03848,0.93164,0.76812,0.61257,0.69163,0.35769,1.74977,1.05983,0.92297,0.007525,0.007525,0.007525
77,9867.86,1.79773,1.04896,0.93065,0.76706,0.61447,0.69262,0.36081,1.73779,1.04936,0.92142,0.007492,0.007492,0.007492
78,10000,1.79063,1.0358,0.93023,0.77701,0.60527,0.6942,0.36182,1.73719,1.03666,0.92181,0.007459,0.007459,0.007459
79,10141.3,1.76869,1.02069,0.92779,0.77804,0.60871,0.69548,0.36237,1.73616,1.02727,0.92136,0.007426,0.007426,0.007426
80,10245,1.76806,1.01987,0.92809,0.77342,0.61474,0.6962,0.36204,1.73624,1.03436,0.92113,0.007393,0.007393,0.007393
81,10341.1,1.77318,1.01915,0.92584,0.77903,0.6134,0.69805,0.36312,1.7342,1.02671,0.92096,0.00736,0.00736,0.00736
82,10547.1,1.75697,1.00934,0.92697,0.78969,0.60883,0.69806,0.36367,1.73262,1.02757,0.92008,0.007327,0.007327,0.007327
83,10645.2,1.77228,1.02433,0.93077,0.79076,0.61151,0.70045,0.36457,1.73332,1.02076,0.92066,0.007294,0.007294,0.007294
84,10744.2,1.78676,1.02626,0.92853,0.78063,0.61374,0.70012,0.36451,1.73061,1.02137,0.91993,0.007261,0.007261,0.007261
85,10843.1,1.73898,0.99768,0.92475,0.78394,0.60955,0.69959,0.36493,1.72989,1.02033,0.91996,0.007228,0.007228,0.007228
86,10968.9,1.77222,1.01778,0.92409,0.79264,0.60829,0.70042,0.3658,1.72584,1.02194,0.91912,0.007195,0.007195,0.007195
87,11097.3,1.76252,1.00795,0.92536,0.7914,0.61133,0.69935,0.36517,1.7257,1.02662,0.91848,0.007162,0.007162,0.007162
88,11238.8,1.74996,1.00226,0.92184,0.78052,0.61675,0.70019,0.36475,1.72739,1.03307,0.91848,0.007129,0.007129,0.007129
89,11340.8,1.74636,1.00142,0.92513,0.78295,0.61977,0.70227,0.36582,1.72441,1.03305,0.91755,0.007096,0.007096,0.007096
90,11439.1,1.76996,1.00818,0.92301,0.7906,0.61409,0.70226,0.36609,1.72098,1.0336,0.91728,0.007063,0.007063,0.007063
91,11566.4,1.74561,0.99014,0.92428,0.79656,0.61591,0.70449,0.36611,1.72105,1.03359,0.91698,0.00703,0.00703,0.00703
